# cfgfile = ./demo_prep/MYGI/MYGI.1401.kaiyo_kx-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
2107,S02,L12,M12,2.941437,0.00013839031238530735,40.12235082264124,-0.0003255489365597382,False,33671.5408,528.79355,1166.05436,14.85784,319.8,0.35,-0.54,33675.543795,521.24861,1173.80145,15.13221,319.59,0.05,-1.81,-0.4696350139698749,0.021646517706925092,-0.008933974958381927,-0.016326436133665516,-0.007977210977572058,-0.48166572339083014,4.7048538651450755e-05
2108,S02,L12,M13,3.722873,9.100063226878511e-05,53.05037483693512,-0.00031311750395911697,False,33681.54114,510.46771,1186.36847,15.01181,318.27,-0.27,-0.65,33686.32557,501.56923,1195.65193,14.99462,317.26,-0.25,-0.68,-0.46984718950580695,0.021700112994723363,-0.008990915838598686,-0.016321087003014087,-0.007993834324349407,-0.4632728051413067,2.4443657430373023e-05
2109,S02,L12,M14,3.418456,0.00010896934829825751,49.22331171700105,-0.0003088217183437634,False,33691.54147,491.98017,1205.92003,15.23017,316.75,0.28,-1.03,33696.021485,483.54845,1214.94763,15.28614,316.17,0.11,-0.8,-0.47004951768022357,0.02175054756496323,-0.009044921435336292,-0.016316076050447076,-0.008009563727331902,-0.45691697824837657,3.187677369498321e-05
2110,S02,L12,M15,2.365633,3.8328990538395044e-05,19.335931557660984,-0.0003244224160641919,False,33701.541855,472.85029,1225.84886,15.14003,315.53,-0.18,-0.3,33704.969045,466.42457,1232.43642,15.29797,314.99,0.76,-0.41,-0.47024528948657485,0.021798739101933244,-0.009096911719245628,-0.016311309997171102,-0.008024672451989543,-0.47999898070342983,1.62024246949527e-05
2111,S02,L12,M12,3.023857,0.00010491007145839962,41.96063680138076,-0.0003278064778782792,False,33711.54232,453.17437,1244.99934,15.07111,314.8,0.4,-0.78,33715.627735,444.97431,1252.90555,15.32184,314.63,-0.03,-1.01,-0.47046002245975577,0.02185091475049905,-0.009153638701978932,-0.016306176445395847,-0.008041119582786735,-0.4850058672222637,3.469412457612897e-05
2112,S02,L12,M13,3.786453,6.7604486721791695e-06,53.77959619099144,-0.00031538626712193413,False,33721.542625,433.27866,1264.23897,15.33045,314.69,0.75,-0.8,33726.390635,423.74855,1273.61789,15.28772,314.74,0.51,-0.23,-0.47067714837697194,0.02190297869601265,-0.009210693866575699,-0.016301082716268036,-0.008057622928553436,-0.4666295522453485,1.7854304997788617e-06
2113,S02,L12,M14,3.420786,0.00015103674006124518,49.255831404935776,-0.000311162989943792,False,33731.543025,413.73027,1283.72521,15.16032,314.9,0.78,0.78,33736.02537,404.62283,1292.03627,15.34627,315.76,0.98,-1.14,-0.47088365637553004,0.021951879650825436,-0.009264687461805716,-0.016296325878361398,-0.008073205793664412,-0.4603810051648805,4.4152642129979824e-05
2114,S02,L12,M15,2.361113,0.00012404705338303366,19.02956942111271,-0.0003268155613222912,False,33741.543475,394.12234,1302.86722,15.12001,315.78,1.35,0.69,33744.966145,386.99464,1309.49736,14.92791,316.43,-0.13,-1.51,-0.47108394608734294,0.021998748116686263,-0.009316808026362394,-0.016291793264513587,-0.008088216174160952,-0.4835397572579563,5.25375335204345e-05
2115,S02,L12,M12,3.110412,8.22192513537616e-05,43.735307402404146,-0.00033015472889240464,False,33751.54377,374.65048,1322.50878,15.32154,316.46,0.99,0.82,33755.71574,366.18101,1330.3335,14.81207,316.81,0.31,-1.34,-0.4713045946063075,0.022049746720749816,-0.009373945694067267,-0.016286893166033718,-0.00810463506682526,-0.48848022052648477,2.6433556504334987e-05
2116,S02,L12,M13,3.854333,3.7617614719570164e-05,54.53534862889262,-0.0003177252302683749,False,33761.54424,355.15258,1342.01822,15.27386,316.83,0.73,-0.09,33766.46013,345.4401,1351.69354,15.13523,316.89,0.03,-0.84,-0.47152644260439924,0.022100384814695784,-0.00943111043711029,-0.01628206191574816,-0.008121024870709342,-0.4700901636908052,9.759824778909909e-06
2117,S02,L12,M14,3.430846,4.2198050695015926e-05,49.415198359055665,-0.0003135581169532546,False,33771.544565,335.99509,1362.18206,14.80786,317.08,-0.05,0.66,33776.03697,326.70779,1370.58458,15.07972,317.25,-0.38,-1.21,-0.47173692144769697,0.022147863061074427,-0.009485094568545838,-0.01627756414949294,-0.008136469759446468,-0.4639247138183844,1.2299605023080584e-05
2118,S02,L12,M15,2.367288,9.741843326304871e-05,19.462883650160023,-0.00032925343047341576,False,33781.544975,316.12766,1381.63266,15.0679,317.34,-0.46,-1.44,33784.97382,310.33103,1388.68216,15.01891,317.28,0.91,0.75,-0.4719415428528899,0.02219350144639906,-0.009537351414700367,-0.016273270615429117,-0.008151389266709212,-0.48714670502014973,4.1151914453606275e-05
2119,S02,L12,M12,3.202977,5.159869554094192e-05,45.467477387249914,-0.0003325509053369257,False,33791.545385,297.5146,1401.9717,15.02883,317.19,-0.28,0.05,33795.80992,289.35202,1410.16486,15.16785,316.58,0.58,-0.73,-0.4721678515344844,0.02224337816775561,-0.009594897768316644,-0.016268612820571925,-0.008167781419168935,-0.49202548187096623,1.6109605389280635e-05
2120,S02,L12,M13,3.928643,-1.2768807225549557e-05,55.32807454627205,-0.00032011604745088573,False,33801.54577,278.07476,1421.51474,15.32516,316.14,0.2,-0.28,33806.53597,268.34031,1431.30261,14.74562,316.23,-0.27,-2.17,-0.4723941270708572,0.02229264208026603,-0.009652195160660692,-0.016264046997140385,-0.008184063123765076,-0.47362749574256574,-3.2501826268127587e-06
2121,S02,L12,M14,3.448666,1.0420370024467974e-05,49.67274817758522,-0.00031600084015797713,False,33811.54607,258.98044,1441.39368,15.04187,315.41,-0.85,-0.05,33816.056295,250.00661,1449.90819,14.90747,315.03,-0.04,0.32,-0.47260825981033616,0.022338722771266487,-0.009706213434842324,-0.01625980706516462,-0.008199376414196432,-0.46753884339251167,3.0215654471810183e-06
