# cfgfile = ./demo_res/MYGI//lambda/MYGI.1311.meiyo_m5_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
2453,S02,L13,M13,2.614303,7.477442387096944e-05,30.687015820794528,-0.00011299991065530188,False,116308.54093,-999.29024,-1157.17054,13.07016,104.42,-0.62,1.52,116312.21679,-990.69621,-1157.26219,13.82954,103.62,0.39,-2.48,-0.05725360697591878,0.051817197012162974,0.057341225226145,0.012472027380741775,-0.0108303774712743,-0.16759699765011243,2.8602049521792017e-05
2454,S02,L13,M14,2.633801,4.651773746236927e-05,31.811709520470117,-0.00012517823318503824,False,116318.540945,-975.90355,-1159.55068,13.22787,101.63,0.28,-1.18,116322.236305,-966.85502,-1161.23221,13.36308,100.12,-0.76,1.36,-0.05744606262480108,0.05183016678441997,0.05730472551240709,0.01248456896370427,-0.010850666874901372,-0.18565940389948207,1.7661826942266812e-05
2455,S02,L13,M15,3.780573,-8.493122293187616e-06,54.014508516054505,-0.0001248702963050994,False,116328.541065,-951.36296,-1162.40245,13.4334,97.95,-0.22,-0.78,116333.383195,-939.09596,-1163.40267,13.42059,94.31,0.28,0.78,-0.05764929276331446,0.05184385697688304,0.05726618154598019,0.012497817974077606,-0.010872082488284633,-0.1852026840999335,-2.2465172060393e-06
2456,S02,L13,M12,3.471377,0.0002102139523357724,49.69509460465062,-0.00010936442351110703,False,116338.54113,-925.84392,-1163.36963,13.44677,91.4,-0.3,-0.16,116343.074065,-913.73567,-1162.88536,13.10779,89.4,0.04,-0.04,-0.05783847033345327,0.05185659541613993,0.05723030197716583,0.012510155676219442,-0.010892008407095474,-0.1622049869234734,6.05563591438707e-05
2457,S02,L13,M13,2.550258,0.00010371873001501901,28.154750084956618,-0.00011002119647682946,False,116348.54117,-899.38426,-1161.79897,13.69505,88.15,0.49,0.92,116352.152985,-889.43947,-1160.39556,13.18366,88.73,-0.39,0.19,-0.05802171245748303,0.051868929412843746,0.05719554741085245,0.012522110783601062,-0.01091130074157556,-0.16317908660686706,4.066989693396472e-05
2458,S02,L13,M14,2.628226,9.940571336182626e-05,31.614192203530706,-0.0001219096059857548,False,116358.541175,-871.90833,-1158.51079,13.36881,91.68,-1.15,-0.84,116362.23096,-862.10031,-1158.27473,13.21293,92.91,-0.02,-0.11,-0.058214487862172315,0.05188189991627009,0.05715898393206312,0.012534692770495307,-0.010931587504518423,-0.18081150533159326,3.7822361304479246e-05
2459,S02,L13,M15,3.729863,0.00011988296820542216,53.44241779372504,-0.00012141904591916331,False,116368.54125,-844.62019,-1157.68796,13.40893,95.11,-0.84,-0.52,116373.33267,-831.53432,-1158.37981,13.34476,97.19,-0.23,0.68,-0.05841702364198918,0.05189552139136322,0.05712056833774057,0.012547917262760949,-0.010952890965647505,-0.18008392604545942,3.214138648133247e-05
2460,S02,L13,M12,3.374092,0.00016565140105546017,48.24736361586349,-0.00010578003938802951,False,116378.541345,-817.15698,-1158.68374,14.14941,98.53,0.51,-0.16,116382.976995,-804.59648,-1158.72515,13.72523,98.58,0.25,-1.32,-0.05860550792717055,0.05190819267003144,0.057084817138225566,0.012560229224216499,-0.01097270688409916,-0.15688877017632027,4.909510501061032e-05
2461,S02,L13,M13,2.486038,0.0001474026313074178,25.243877734619986,-0.00010654224538970103,False,116388.54135,-788.86069,-1160.19332,12.74247,100.0,-0.57,-1.23,116392.088945,-779.20334,-1162.01716,13.9267,99.53,-0.18,0.31,-0.05878882275580955,0.051920511576654546,0.05705004571602135,0.012572208182315931,-0.010991970231282963,-0.1580192439681157,5.9292187531895246e-05
2462,S02,L13,M14,2.636361,3.8528105849249295e-05,31.894109976997584,-0.00011870356609851732,False,116398.541365,-761.14213,-1163.71717,13.34576,98.44,0.1,0.26,116402.239285,-750.6791,-1164.9535,13.55145,97.54,-0.42,0.5,-0.05898203061520534,0.051933490030156744,0.05701339694547992,0.012584838725486554,-0.011012263127299363,-0.17605643378922214,1.4614123729356221e-05
