# cfgfile = ./demo_res/MYGI//lambda/MYGI.1209.takuyo_t1_L-01.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
10,S01,L01,M13,3.928233,4.062673848732668e-05,55.285299600257005,-0.0008223123215803843,False,65186.20207,2.39925,1454.79311,21.96187,194.38,0.46,1.04,65191.19186,1.39878,1440.67858,21.67508,194.05,0.07,-0.23,-1.0765621835724875,0.15780460741443095,-0.1077163889558446,0.017265466385881254,-0.016696247626200027,-1.2182916461994466,1.0342242552141556e-05
11,S01,L01,M14,3.290601,7.849131885104636e-05,47.24283118007668,-0.0008387419140659951,False,65196.20207,-1.46313,1427.28914,21.80002,194.54,0.06,0.95,65200.55423,-2.19259,1415.50433,22.14555,194.54,0.68,0.41,-1.0759586770775753,0.15753987889057897,-0.10749563026385678,0.017199970163891822,-0.016708436024563365,-1.2426328055745275,2.385318634834377e-05
12,S01,L01,M15,2.329638,1.4399712036790073e-05,16.864712579882138,-0.0008383279255599691,False,65206.20207,-4.55648,1399.83621,21.76695,193.55,0.24,0.22,65209.593265,-5.16201,1390.70892,21.76891,193.57,0.59,-0.34,-1.075365416349686,0.15727957087742758,-0.10727857806831047,0.017135568795277688,-0.01672041582344322,-1.242019463508164,6.181094245882868e-06
13,S01,L01,M12,3.273767,6.524211860355583e-05,46.70026146826703,-0.0008144168582225097,False,65216.20207,-7.64275,1372.54328,22.07426,192.07,0.75,0.91,65220.537395,-8.59265,1360.53417,21.74298,192.0,0.08,0.14,-1.0747129957918953,0.15699321555224874,-0.10703983265858685,0.017064725163342846,-0.016733586932702528,-1.2065941721383915,1.9928760539023038e-05
14,S01,L01,M13,3.808023,0.00018669757760249656,53.98751224094593,-0.0008131852960264611,False,65226.20207,-10.81963,1345.12971,21.96536,191.2,0.26,1.88,65231.07165,-10.9908,1331.5753,22.43184,191.21,1.1,0.61,-1.0740735530023295,0.15671246400756036,-0.10680578718529689,0.016995270432017356,-0.016746491374145397,-1.2047695589155987,4.902742908918789e-05
15,S01,L01,M14,3.192016,6.996130800339211e-05,45.563213948620444,-0.0008292574300586945,False,65236.20207,-11.48466,1317.06669,21.39782,190.21,-0.14,-0.57,65240.455645,-13.77233,1305.59768,22.49389,190.49,0.8,2.08,-1.0734701248237828,0.1564474391100469,-0.1065848790019458,0.016929709090739688,-0.016758663611271776,-1.2285811279681411,2.1917593145959202e-05
16,S01,L01,M15,2.291198,-3.176278091453357e-05,13.27526200716025,-0.00082886246241235,False,65246.20207,-13.87484,1289.65588,22.2706,190.0,0.95,1.04,65249.554825,-14.29852,1279.83498,21.74774,189.43,-0.25,0.74,-1.0728757565842797,0.15618630823716667,-0.10636724430363159,0.016865114213483343,-0.016770646780085254,-1.2279959661367632,-1.3862957681760185e-05
17,S01,L01,M12,3.182157,0.00011185150493994193,45.106778726490546,-0.0008048644827457476,False,65256.20207,-14.38362,1261.29259,21.58007,188.65,0.08,0.03,65260.445785,-16.54548,1249.89399,22.00916,188.4,0.04,2.47,-1.0722258594337533,0.15590067947127073,-0.10612922647448572,0.01679446363849056,-0.016783740817447372,-1.1924419103525854,3.514958719508243e-05
18,S01,L01,M13,3.687938,0.0001805892000706068,52.599337741712475,-0.0008032048424433941,False,65266.20207,-15.71524,1234.02806,22.58049,188.25,1.56,0.8,65270.951565,-15.46996,1220.57831,21.6154,186.94,0.28,-0.06,-1.0715881828596574,0.15562031704280527,-0.10589563338428504,0.016725120514192768,-0.01679657863759696,-1.189983080704785,4.896752604588439e-05
19,S01,L01,M14,3.100211,-2.630804109736425e-06,43.85552244384962,-0.0008190079764050867,False,65276.20207,-15.81836,1205.60129,21.77615,186.96,-0.17,0.98,65280.36384,-16.00547,1194.16758,22.11326,186.33,0.42,1.2,-1.0709847330681967,0.15535490546734976,-0.10567453175305526,0.016659480112286934,-0.016808717152002977,-1.213396114395317,-8.485887282305704e-07
